TRIBUNAL_J,N_TJ,pauvrete
Tribunal judiciaire de P̩rigueux,79,1.18587360594796
Tribunal judiciaire de Quimper,88,3.94444444444444
Tribunal judiciaire de Reims,128,0.523529411764706
Tribunal judiciaire de Rennes,98,2.41328413284133
Tribunal judiciaire de Roanne,111,0.982300884955752
Tribunal judiciaire de Rodez,57,0.683098591549296
Tribunal judiciaire de Rouen,182,2.36630036630037
Tribunal judiciaire de Saint-Brieuc,76,2.47744360902256
Tribunal judiciaire de Saint-Etienne,112,2.3047619047619
Tribunal judiciaire de Saint-Malo,99,2.24475524475524
Tribunal judiciaire de Saint-Nazaire,115,5.7536231884058
Tribunal judiciaire de Saint-Omer,156,1.99107142857143
Tribunal judiciaire de Saint-Quentin,41,0.8
Tribunal judiciaire de Saintes,67,0.792284866468843
Tribunal judiciaire de Sarreguemines,138,3.28846153846154
Tribunal judiciaire de Saumur,48312,2.90322580645161
Tribunal judiciaire de Saverne,163,0.788177339901478
Tribunal judiciaire de Senlis,150,2.09848484848485
Tribunal judiciaire de Sens,206,1.48322147651007
Tribunal judiciaire de Soissons,42,0.817843866171004
Tribunal judiciaire de St Gaudens,48313,0.383458646616541
Tribunal judiciaire de Strasbourg,164,1.97975708502024
Tribunal judiciaire de Tarascon,60,10.1388888888889
Tribunal judiciaire de Tarbes,161,0.460554371002132
Tribunal judiciaire de Thionville,139,4.47115384615385
Tribunal judiciaire de Thonon-les-Bains,178,1.95714285714286
Tribunal judiciaire de Toulon,196,11.0588235294118
Tribunal judiciaire de Toulouse,92,2.5375
Tribunal judiciaire de Tours,101,1.37867647058824
Tribunal judiciaire de Troyes,53,0.839907192575406
Tribunal judiciaire de Tulle,48314,0.593406593406593
Tribunal judiciaire de Val de Briey,131,3.1953125
Tribunal judiciaire de Valence,82,1.47658402203857
Tribunal judiciaire de Valenciennes,147,10.4756097560976
Tribunal judiciaire de Vannes,136,3.07857142857143
Tribunal judiciaire de Verdun,134,0.417322834645669
Tribunal judiciaire de Versailles,186,2.98841698841699
Tribunal judiciaire de Vesoul,170,0.424860853432282
Tribunal judiciaire de Vienne,104,3.05769230769231
Tribunal judiciaire de Villefranche-sur-Sa̫ne,168,1.56756756756757
Tribunal judiciaire des Sables-d'Olonne,200,3.725
Tribunal judiciaire du Havre,181,1.22368421052632
Tribunal judiciaire du Mans,173,1.16101694915254
Tribunal judiciaire du Puy-en-Velay,113,1
NA,NA,12.5496183206107
