N_CPH,PRUDHOMMES,pauvrete
1000,Conseil de Prud'hommes de Besan̤on,0.259351620947631
1001,Conseil de Prud'hommes de Montb̩liard,1.69642857142857
1002,Conseil de Prud'hommes de Mont̩limar,1.08450704225352
1004,Conseil de Prud'hommes de Valence,1.72850678733032
1005,Conseil de Prud'hommes de Bernay,0.595121951219512
1006,Conseil de Prud'hommes d'Evreux,1.16304347826087
1007,Conseil de Prud'hommes de Louviers,1.00515463917526
1009,Conseil de Prud'hommes de Chartres,1.10204081632653
1010,Conseil de Prud'hommes de Ch̢teaudun,1.19672131147541
1011,Conseil de Prud'hommes de Dreux,1.0462962962963
1013,Conseil de Prud'hommes de Brest,2.32051282051282
1014,Conseil de Prud'hommes de Morlaix,3.45205479452055
1015,Conseil de Prud'hommes de Quimper,3.94444444444444
1016,Conseil de Prud'hommes d'Al̬s,2.58620689655172
1017,Conseil de Prud'hommes de N̨mes,4.31073446327684
1018,Conseil de Prud'hommes de Saint-Gaudens,0.383458646616541
1019,Conseil de Prud'hommes de Toulouse,2.5375
1020,Conseil de Prud'hommes d'Auch,0.431670281995662
1021,Conseil de Prud'hommes de Bordeaux,2.78488372093023
1022,Conseil de Prud'hommes de Libourne,2.15706806282722
1024,Conseil de Prud'hommes de B̩ziers,4.37106918238994
1026,Conseil de Prud'hommes de Montpellier,3.55029585798817
1027,Conseil de Prud'hommes de S̬te,12.3571428571429
1030,Conseil de Prud'hommes de Rennes,2.41328413284133
1031,Conseil de Prud'hommes de Saint-Malo,2.59016393442623
1033,Conseil de Prud'hommes de Ch̢teauroux,0.809128630705394
1035,Conseil de Prud'hommes de Tours,1.37867647058824
1036,Conseil de Prud'hommes de Bourgoin-Jallieu,1.39669421487603
1039,Conseil de Prud'hommes de Vienne,3.05769230769231
1041,Conseil de Prud'hommes de Dole,0.353383458646617
1042,Conseil de Prud'hommes de Lons-le-Saunier,0.486842105263158
1044,Conseil de Prud'hommes de Dax,1.85526315789474
1045,Conseil de Prud'hommes de Mont-de-Marsan,0.937142857142857
1046,Conseil de Prud'hommes de Blois,1.06367041198502
1049,Conseil de Prud'hommes de Montbrison,1.11764705882353
1051,Conseil de Prud'hommes de Roanne,0.982300884955752
1053,Conseil de Prud'hommes de Saint-Etienne,4.48648648648649
1054,Conseil de Prud'hommes du Puy-en-Velay,1
1055,Conseil de Prud'hommes de Nantes,3.73188405797101
1056,Conseil de Prud'hommes de Saint-Nazaire,5.7536231884058
1057,Conseil de Prud'hommes de Montargis,2.07142857142857
1058,Conseil de Prud'hommes d'Orl̩ans,1.67567567567568
1059,Conseil de Prud'hommes de Cahors,0.399361022364217
1061,Conseil de Prud'hommes d'Agen,1.73469387755102
1062,Conseil de Prud'hommes de Marmande,0.943089430894309
1063,Conseil de Prud'hommes de Mende,0.447368421052632
1064,Conseil de Prud'hommes d'Angers,3.39473684210526
1066,Conseil de Prud'hommes de Saumur,2.90322580645161
1067,Conseil de Prud'hommes d'Avranches,1.46511627906977
1068,Conseil de Prud'hommes de Cherbourg-en-Cotentin,0.783216783216783
1069,Conseil de Prud'hommes de Coutances,1.3757225433526
1070,Conseil de Prud'hommes de Ch̢lons-en-Champagne,0.440860215053763
1071,Conseil de Prud'hommes d'Epernay,0.5
1072,Conseil de Prud'hommes de Reims,0.523529411764706
1073,Conseil de Prud'hommes de Chaumont,0.384976525821596
1075,Conseil de Prud'hommes de Laval,0.945833333333333
1077,Conseil de Prud'hommes de Longwy,3.1953125
1079,Conseil de Prud'hommes de Nancy,1.14470842332613
1080,Conseil de Prud'hommes de Bar-le-Duc,0.436734693877551
1081,Conseil de Prud'hommes de Verdun,0.417322834645669
1082,Conseil de Prud'hommes de Lorient,5.28440366972477
1083,Conseil de Prud'hommes de Vannes,3.07857142857143
1084,Conseil de Prud'hommes de Forbach,3.28846153846154
1085,Conseil de Prud'hommes de Metz,1.02150537634409
1088,Conseil de Prud'hommes de Thionville,4.47115384615385
1089,Conseil de Prud'hommes de Nevers,0.640776699029126
1091,Conseil de Prud'hommes de Cambrai,2.60344827586207
