N_CA,COUR_APPEL,pauvrete
1,Cour d'Appel d'Aix-en-Provence,4.97788309636651
10,Cour d'Appel de Montpellier,2.38365758754864
11,Cour d'Appel de Rennes,3.1726822363765
12,Cour d'Appel de Grenoble,1.5718418514947
13,Cour d'Appel d'Orl̩ans,1.45717592592593
14,Cour d'Appel d'Agen,0.713632204940531
14815,Cour d'Appel de Paris,3.42079207920792
15,Cour d'Appel d'Angers,1.56493506493506
16,Cour d'Appel de Reims,0.712751677852349
17,Cour d'Appel de Nancy,1.08140262993112
18,Cour d'Appel de Metz,2.00413793103448
19,Cour d'Appel de Douai,3.87256176853056
2,Cour d'Appel deCAen,1.18201915991157
20,Cour d'Appel de Riom,0.842679127725857
21,Cour d'Appel de Pau,0.864280387770321
22,Cour d'Appel de Colmar,1.44545454545455
23,Cour d'Appel de Lyon,2.15188583078491
24,Cour d'Appel de Chamb̩ry,1.71014492753623
26,Cour d'Appel de Rouen,1.25522041763341
27,Cour d'Appel de Versailles,2.93831553973903
28,Cour d'Appel d'Amiens,0.891111111111111
29,Cour d'Appel de Poitiers,1.60129136400323
3,Cour d'Appel de Bourges,0.720095693779904
30,Cour d'Appel de Limoges,0.752054794520548
4,Cour d'Appel de Bastia,1.28611111111111
5,Cour d'Appel de Dijon,0.563981042654028
6,Cour d'Appel de Besan̤on,0.574867880211392
7,Cour d'Appel de N̨mes,2.50556117290192
8,Cour d'Appel de Toulouse,1.35045742434905
9,Cour d'Appel de Bordeaux,1.58071428571429
NA,NA,12.5496183206107
