N_CPH,PRUDHOMMES,moyenne_age
1101,Conseil de Prud'hommes de Lille,37.6606964220087
1191,Conseil de Prud'hommes de Limoges,44.3442761941183
1202,Conseil de Prud'hommes de Longjumeau,38.5799111030418
1077,Conseil de Prud'hommes de Longwy,41.6574314285532
1042,Conseil de Prud'hommes de Lons-le-Saunier,43.7964555707393
1082,Conseil de Prud'hommes de Lorient,44.5000275862334
1007,Conseil de Prud'hommes de Louviers,40.1364992003907
1140,Conseil de Prud'hommes de Lure,43.9717093359528
1138,Conseil de Prud'hommes de Lyon,37.7687690496029
1100,Conseil de Prud'hommes de Lys-Lez-Lannoy,38.6026968864491
1165,Conseil de Prud'hommes de Mantes-la-Jolie,38.4421490585798
1062,Conseil de Prud'hommes de Marmande,46.5788984344944
972,Conseil de Prud'hommes de Marseille,40.4490722662137
973,Conseil de Prud'hommes de Martigues,41.5407537484425
1163,Conseil de Prud'hommes de Meaux,37.3508835996311
1164,Conseil de Prud'hommes de Melun,37.8791662629827
1063,Conseil de Prud'hommes de Mende,45.4190275763849
1085,Conseil de Prud'hommes de Metz,41.6402346949655
968,Conseil de Prud'hommes de Millau,46.4284763345305
1045,Conseil de Prud'hommes de Mont-de-Marsan,45.3701693296787
1057,Conseil de Prud'hommes de Montargis,43.6648922799297
1180,Conseil de Prud'hommes de Montauban,42.6752531284958
1049,Conseil de Prud'hommes de Montbrison,42.3663774272785
1001,Conseil de Prud'hommes de Montb̩liard,42.3854561455937
945,Conseil de Prud'hommes de Montlṳon,46.4560434907014
1210,Conseil de Prud'hommes de Montmorency,37.4949269876756
1026,Conseil de Prud'hommes de Montpellier,39.9793724168741
1002,Conseil de Prud'hommes de Mont̩limar,43.4607419633071
1014,Conseil de Prud'hommes de Morlaix,44.8824016232098
946,Conseil de Prud'hommes de Moulins,45.8642458390484
1136,Conseil de Prud'hommes de Mulhouse,41.4802467448909
1145,Conseil de Prud'hommes de M̢con,45.4585378194686
1079,Conseil de Prud'hommes de Nancy,40.8574702200142
1204,Conseil de Prud'hommes de Nanterre,37.7846350720295
1055,Conseil de Prud'hommes de Nantes,38.7819103209987
966,Conseil de Prud'hommes de Narbonne,45.3466173760165
1089,Conseil de Prud'hommes de Nevers,47.4285679317082
955,Conseil de Prud'hommes de Nice,43.6765444676583
1170,Conseil de Prud'hommes de Niort,43.5204473386506
1017,Conseil de Prud'hommes de N̨mes,42.7115416988181
15272,Conseil de Prud'hommes de Paris,40.4339433707378
1124,Conseil de Prud'hommes de Pau,44.1643866322108
1126,Conseil de Prud'hommes de Perpignan,44.898110088576
1166,Conseil de Prud'hommes de Poissy,37.9828454881449
1190,Conseil de Prud'hommes de Poitiers,42.2842009360054
999,Conseil de Prud'hommes de P̩rigueux,47.0096016772066
1175,Conseil de Prud'hommes de P̩ronne,42.2544270500654
1015,Conseil de Prud'hommes de Quimper,45.6193444773824
1167,Conseil de Prud'hommes de Rambouillet,40.4723142263172
1072,Conseil de Prud'hommes de Reims,39.6473266602832
1030,Conseil de Prud'hommes de Rennes,38.8800026940393
1120,Conseil de Prud'hommes de Riom,43.4012213016224
1051,Conseil de Prud'hommes de Roanne,44.5512588683995
983,Conseil de Prud'hommes de Rochefort,46.5714371172079
969,Conseil de Prud'hommes de Rodez,46.0764646360228
1103,Conseil de Prud'hommes de Roubaix,36.1842332121052
1161,Conseil de Prud'hommes de Rouen,40.4328124982685
996,Conseil de Prud'hommes de Saint-Brieuc,44.1930198477757
1196,Conseil de Prud'hommes de Saint-Di̩-des-Vosges,45.0746985928239
1053,Conseil de Prud'hommes de Saint-Etienne,41.2759235042222
1018,Conseil de Prud'hommes de Saint-Gaudens,46.914651524982
1168,Conseil de Prud'hommes de Saint-Germain-en-Laye,39.8261134303259
1031,Conseil de Prud'hommes de Saint-Malo,45.2283424840524
1056,Conseil de Prud'hommes de Saint-Nazaire,43.5243400826186
1118,Conseil de Prud'hommes de Saint-Omer,40.0449177388429
943,Conseil de Prud'hommes de Saint-Quentin,41.67690738249
985,Conseil de Prud'hommes de Saintes,47.8802662497282
1066,Conseil de Prud'hommes de Saumur,43.1699456624278
1129,Conseil de Prud'hommes de Saverne,43.1352439870438
1130,Conseil de Prud'hommes de Schiltigheim,41.6988809023322
1198,Conseil de Prud'hommes de Sens,42.9070209138465
944,Conseil de Prud'hommes de Soissons,41.6225555066276
1132,Conseil de Prud'hommes de Strasbourg,38.393380219944
1027,Conseil de Prud'hommes de S̬te,44.8844284627054
1125,Conseil de Prud'hommes de Tarbes,46.1453020945457
1088,Conseil de Prud'hommes de Thionville,41.206480387528
1171,Conseil de Prud'hommes de Thouars,44.2026435514151
1183,Conseil de Prud'hommes de Toulon,45.2882267848502
1019,Conseil de Prud'hommes de Toulouse,38.7276073635788
1104,Conseil de Prud'hommes de Tourcoing,38.5765088217754
1035,Conseil de Prud'hommes de Tours,42.239588323447
964,Conseil de Prud'hommes de Troyes,41.8188212356849
989,Conseil de Prud'hommes de Tulle,47.2954428070303
1004,Conseil de Prud'hommes de Valence,42.1580088069184
1105,Conseil de Prud'hommes de Valenciennes,39.2295503677175
1083,Conseil de Prud'hommes de Vannes,44.2298015322078
1081,Conseil de Prud'hommes de Verdun,42.6996932208022
1169,Conseil de Prud'hommes de Versailles,38.702244783705
1141,Conseil de Prud'hommes de Vesoul,43.4091566350355
947,Conseil de Prud'hommes de Vichy,46.494744164083
1039,Conseil de Prud'hommes de Vienne,39.1548454589969
1139,Conseil de Prud'hommes de Villefranche-sur-Sa̫ne,40.7094511821521
1207,Conseil de Prud'hommes de Villeneuve-Saint-Georges,37.4838508567725
1188,Conseil de Prud'hommes des Sables d'Olonne,48.3600391179583
1160,Conseil de Prud'hommes du Havre,41.1637639303389
1147,Conseil de Prud'hommes du Mans,42.4045681825033
1054,Conseil de Prud'hommes du Puy-en-Velay,44.3404171655305
7248,Conseil de prud'hommes de Cergy-Pontoise,36.5785444597035
977,Conseil de prud'hommes de Lisieux,44.8174629787731
NA,NA,40.1262447557034
