N_TJ,TRIBUNAL_J,moyenne_age
128,Tribunal judiciaire de Reims,39.6473266602832
98,Tribunal judiciaire de Rennes,38.8800026940393
111,Tribunal judiciaire de Roanne,44.5512588683995
57,Tribunal judiciaire de Rodez,46.1678482970957
182,Tribunal judiciaire de Rouen,40.4328124982685
76,Tribunal judiciaire de Saint-Brieuc,44.9964983658931
112,Tribunal judiciaire de Saint-Etienne,41.6199598614239
99,Tribunal judiciaire de Saint-Malo,44.9757525424077
115,Tribunal judiciaire de Saint-Nazaire,43.5243400826186
156,Tribunal judiciaire de Saint-Omer,40.0449177388429
41,Tribunal judiciaire de Saint-Quentin,41.67690738249
67,Tribunal judiciaire de Saintes,47.8802662497282
138,Tribunal judiciaire de Sarreguemines,43.590281022153
48312,Tribunal judiciaire de Saumur,43.1699456624278
163,Tribunal judiciaire de Saverne,43.1352439870438
150,Tribunal judiciaire de Senlis,38.7566799837789
206,Tribunal judiciaire de Sens,42.9070209138465
42,Tribunal judiciaire de Soissons,41.6225555066276
48313,Tribunal judiciaire de St Gaudens,46.914651524982
164,Tribunal judiciaire de Strasbourg,40.300492069551
60,Tribunal judiciaire de Tarascon,43.590061208505
161,Tribunal judiciaire de Tarbes,46.1453020945457
139,Tribunal judiciaire de Thionville,41.206480387528
178,Tribunal judiciaire de Thonon-les-Bains,38.8057664430919
196,Tribunal judiciaire de Toulon,45.2882267848502
92,Tribunal judiciaire de Toulouse,38.7276073635788
101,Tribunal judiciaire de Tours,42.239588323447
53,Tribunal judiciaire de Troyes,41.8188212356849
48314,Tribunal judiciaire de Tulle,47.2954428070303
131,Tribunal judiciaire de Val de Briey,41.6574314285532
82,Tribunal judiciaire de Valence,42.5852377932908
147,Tribunal judiciaire de Valenciennes,39.2295503677175
136,Tribunal judiciaire de Vannes,44.2298015322078
134,Tribunal judiciaire de Verdun,42.6996932208022
186,Tribunal judiciaire de Versailles,39.0774548858315
170,Tribunal judiciaire de Vesoul,43.6451166893079
104,Tribunal judiciaire de Vienne,39.1548454589969
168,Tribunal judiciaire de Villefranche-sur-Sa̫ne,40.7094511821521
200,Tribunal judiciaire des Sables-d'Olonne,48.3600391179583
181,Tribunal judiciaire du Havre,41.1637639303389
173,Tribunal judiciaire du Mans,42.4045681825033
113,Tribunal judiciaire du Puy-en-Velay,44.3404171655305
NA,NA,40.1195687497629
