"TRIBUNAL_J","N_TJ","pourcentage_mono"
"Tribunal judiciaire de Pontoise","212",10.3714346388713
"Tribunal judiciaire de Privas","50",8.12207721096143
"Tribunal judiciaire de Périgueux","79",7.61558976547194
"Tribunal judiciaire de Quimper","88",7.50585315987744
"Tribunal judiciaire de Reims","128",6.96205227642556
"Tribunal judiciaire de Rennes","98",6.96994940553362
"Tribunal judiciaire de Roanne","111",6.38371838261342
"Tribunal judiciaire de Rodez","57",6.77693262657303
"Tribunal judiciaire de Rouen","182",7.22185229214986
"Tribunal judiciaire de Saint-Brieuc","76",7.7474470472717
"Tribunal judiciaire de Saint-Etienne","112",7.03273241237658
"Tribunal judiciaire de Saint-Malo","99",7.49162462635446
"Tribunal judiciaire de Saint-Nazaire","115",7.49823370320279
"Tribunal judiciaire de Saint-Omer","156",8.10505373705399
"Tribunal judiciaire de Saint-Quentin","41",7.55874646790601
"Tribunal judiciaire de Saintes","67",8.12702470434328
"Tribunal judiciaire de Sarreguemines","138",8.51447868628504
"Tribunal judiciaire de Saumur","48312",6.23238431038131
"Tribunal judiciaire de Saverne","163",8.40299982525618
"Tribunal judiciaire de Senlis","150",9.56335013331211
"Tribunal judiciaire de Sens","206",7.69132470535482
"Tribunal judiciaire de Soissons","42",7.98188894987419
"Tribunal judiciaire de St Gaudens","48313",9.44932923150414
"Tribunal judiciaire de Strasbourg","164",7.52060032507153
"Tribunal judiciaire de Tarascon","60",9.58987171239161
"Tribunal judiciaire de Tarbes","161",8.04743681941584
"Tribunal judiciaire de Thionville","139",8.5358302471113
"Tribunal judiciaire de Thonon-les-Bains","178",9.07728555671784
"Tribunal judiciaire de Toulon","196",9.38828315150464
"Tribunal judiciaire de Toulouse","92",8.71015867456218
"Tribunal judiciaire de Tours","101",7.13940274836497
"Tribunal judiciaire de Troyes","53",7.95335448901509
"Tribunal judiciaire de Tulle","48314",6.9846631159671
"Tribunal judiciaire de Val de Briey","131",8.80380737217468
"Tribunal judiciaire de Valence","82",8.65722267757365
"Tribunal judiciaire de Valenciennes","147",11.2646925952823
"Tribunal judiciaire de Vannes","136",6.84357965346993
"Tribunal judiciaire de Verdun","134",7.99697277329205
"Tribunal judiciaire de Versailles","186",9.34090803915512
"Tribunal judiciaire de Vesoul","170",7.33830433870399
"Tribunal judiciaire de Vienne","104",8.33522644180703
"Tribunal judiciaire de Villefranche-sur-Saône","168",7.15085505926152
"Tribunal judiciaire des Sables-d'Olonne","200",6.49103252091812
"Tribunal judiciaire du Havre","181",6.31229784207683
"Tribunal judiciaire du Mans","173",6.33818231174258
"Tribunal judiciaire du Puy-en-Velay","113",7.40576911095966
