"PRUDHOMMES","N_CPH","pourcentage_mono"
"Conseil de Prud'hommes de Laon","942",8.61290712605335
"Conseil de Prud'hommes de Laval","1075",5.83969292899281
"Conseil de Prud'hommes de Lens","1116",11.5343913752305
"Conseil de Prud'hommes de Libourne","1022",8.84353306297384
"Conseil de Prud'hommes de Lille","1101",9.28890025239465
"Conseil de Prud'hommes de Limoges","1191",7.46871992099957
"Conseil de Prud'hommes de Longjumeau","1202",10.6100273306811
"Conseil de Prud'hommes de Longwy","1077",8.80380737217468
"Conseil de Prud'hommes de Lons-le-Saunier","1042",7.0500342700656
"Conseil de Prud'hommes de Lorient","1082",7.64764024587548
"Conseil de Prud'hommes de Louviers","1007",8.07796803403408
"Conseil de Prud'hommes de Lure","1140",7.41965602387847
"Conseil de Prud'hommes de Lyon","1138",8.54589066659081
"Conseil de Prud'hommes de Lys-Lez-Lannoy","1100",10.4777270430442
"Conseil de Prud'hommes de Mantes-la-Jolie","1165",9.32549873628786
"Conseil de Prud'hommes de Marmande","1062",8.34758919926747
"Conseil de Prud'hommes de Marseille","972",12.0786783595094
"Conseil de Prud'hommes de Martigues","973",11.9092888143791
"Conseil de Prud'hommes de Meaux","1163",10.445387453699
"Conseil de Prud'hommes de Melun","1164",9.2359709504161
"Conseil de Prud'hommes de Mende","1063",6.5527862326132
"Conseil de Prud'hommes de Metz","1085",8.05792107683379
"Conseil de Prud'hommes de Millau","968",6.89728444189098
"Conseil de Prud'hommes de Mont-de-Marsan","1045",7.46446788445624
"Conseil de Prud'hommes de Montargis","1057",7.71565095065039
"Conseil de Prud'hommes de Montauban","1180",9.34365890440055
"Conseil de Prud'hommes de Montbrison","1049",6.60650443769015
"Conseil de Prud'hommes de Montbéliard","1001",7.68710032527495
"Conseil de Prud'hommes de Montluçon","945",7.28962134968578
"Conseil de Prud'hommes de Montmorency","1210",11.2673986903298
"Conseil de Prud'hommes de Montpellier","1026",9.52985112699274
"Conseil de Prud'hommes de Montélimar","1002",9.11185537708319
"Conseil de Prud'hommes de Morlaix","1014",7.40206863151339
"Conseil de Prud'hommes de Moulins","946",6.65897473411644
"Conseil de Prud'hommes de Mulhouse","1136",7.72246979251342
"Conseil de Prud'hommes de Mâcon","1145",6.28590511671926
"Conseil de Prud'hommes de Nancy","1079",7.84721328265111
"Conseil de Prud'hommes de Nanterre","1204",12.1430381545003
"Conseil de Prud'hommes de Nantes","1055",7.4664918647422
"Conseil de Prud'hommes de Narbonne","966",8.12100816066641
"Conseil de Prud'hommes de Nevers","1089",7.33165859571944
"Conseil de Prud'hommes de Nice","955",9.93835529558946
"Conseil de Prud'hommes de Niort","1170",6.47641612359959
"Conseil de Prud'hommes de Nîmes","1017",9.3674838400224
"Conseil de Prud'hommes de Paris","15272",8.77986609778017
"Conseil de Prud'hommes de Pau","1124",8.43767775530143
"Conseil de Prud'hommes de Perpignan","1126",9.95501909577278
"Conseil de Prud'hommes de Poissy","1166",10.1968023547881
"Conseil de Prud'hommes de Poitiers","1190",7.45844852484175
"Conseil de Prud'hommes de Périgueux","999",7.61558976547194
"Conseil de Prud'hommes de Péronne","1175",8.67034908976805
"Conseil de Prud'hommes de Quimper","1015",7.50585315987744
"Conseil de Prud'hommes de Rambouillet","1167",7.9709374037448
"Conseil de Prud'hommes de Reims","1072",6.96205227642556
"Conseil de Prud'hommes de Rennes","1030",6.96994940553362
"Conseil de Prud'hommes de Riom","1120",7.62960321859366
"Conseil de Prud'hommes de Roanne","1051",6.38371838261342
"Conseil de Prud'hommes de Rochefort","983",7.45353545951901
"Conseil de Prud'hommes de Rodez","969",6.71450414483057
"Conseil de Prud'hommes de Roubaix","1103",13.6091805184311
"Conseil de Prud'hommes de Rouen","1161",7.22185229214986
"Conseil de Prud'hommes de Saint-Brieuc","996",7.22661001143747
"Conseil de Prud'hommes de Saint-Dié-des-Vosges","1196",7.5657048432322
"Conseil de Prud'hommes de Saint-Etienne","1053",7.8160703118003
"Conseil de Prud'hommes de Saint-Gaudens","1018",9.44932923150414
"Conseil de Prud'hommes de Saint-Germain-en-Laye","1168",10.0188153510647
"Conseil de Prud'hommes de Saint-Malo","1031",7.49308170164212
"Conseil de Prud'hommes de Saint-Nazaire","1056",7.49823370320279
"Conseil de Prud'hommes de Saint-Omer","1118",8.10505373705399
"Conseil de Prud'hommes de Saint-Quentin","943",7.55874646790601
"Conseil de Prud'hommes de Saintes","985",8.12702470434328
"Conseil de Prud'hommes de Saumur","1066",6.23238431038131
"Conseil de Prud'hommes de Saverne","1129",8.40299982525618
"Conseil de Prud'hommes de Schiltigheim","1130",7.03270376844596
"Conseil de Prud'hommes de Sens","1198",7.69132470535482
"Conseil de Prud'hommes de Soissons","944",7.98188894987419
"Conseil de Prud'hommes de Strasbourg","1132",8.11933878930891
"Conseil de Prud'hommes de Sète","1027",10.8218625716685
"Conseil de Prud'hommes de Tarbes","1125",8.04743681941584
"Conseil de Prud'hommes de Thionville","1088",8.5358302471113
"Conseil de Prud'hommes de Thouars","1171",6.69341301575788
"Conseil de Prud'hommes de Toulon","1183",9.38828315150464
"Conseil de Prud'hommes de Toulouse","1019",8.71015867456218
"Conseil de Prud'hommes de Tourcoing","1104",10.8130634171649
"Conseil de Prud'hommes de Tours","1035",7.13940274836497
"Conseil de Prud'hommes de Troyes","964",7.95335448901509
"Conseil de Prud'hommes de Tulle","989",6.9846631159671
"Conseil de Prud'hommes de Valence","1004",8.36451395323189
"Conseil de Prud'hommes de Valenciennes","1105",11.2646925952823
"Conseil de Prud'hommes de Vannes","1083",6.84357965346993
"Conseil de Prud'hommes de Verdun","1081",7.99697277329205
"Conseil de Prud'hommes de Versailles","1169",9.91122153451418
"Conseil de Prud'hommes de Vesoul","1141",7.29365441954214
"Conseil de Prud'hommes de Vichy","947",8.12494253308942
"Conseil de Prud'hommes de Vienne","1039",8.33522644180703
"Conseil de Prud'hommes de Villefranche-sur-Saône","1139",7.15085505926152
"Conseil de Prud'hommes de Villeneuve-Saint-Georges","1207",13.3640316077002
"Conseil de Prud'hommes des Sables d'Olonne","1188",6.49103252091812
"Conseil de Prud'hommes du Havre","1160",6.31229784207683
"Conseil de Prud'hommes du Mans","1147",6.33818231174258
"Conseil de Prud'hommes du Puy-en-Velay","1054",7.40576911095966
"Conseil de prud'hommes de Cergy-Pontoise","7248",9.51907619835034
"Conseil de prud'hommes de Lisieux","977",5.99503899290052
NA,NA,10.5048223609839
